"","V1"
"1","基礎攝影"
"2","圖學(一)"
"3","結構與造形實習"
"4","素描實習"
"5","環境調查實習(一)"
"6","圖學實習(一)"
"7","體育(男)一"
"8","法學緒論"
"9","體育(女)一"
"10","教育心理學"
"11","教育概論"
"12","特殊教育見習一A"
"13","早期介入概論"
"14","中西哲學的生死關懷"
"15","國防軍訓-防衛動員"
"16","化工安全與實驗室安全"
"17","工程倫理"
"18","政治學與當代生活"
"19","國防軍訓-國際情勢"
"20","認識智慧財產權"
"21","服務學習"
"22","優質網路生活"
"23","素描(一)"
"24","室內設計概論(一)"
"25","室內設計用詞表達形式"
"26","攝影外拍與實作"
"27","企業概論"
"28","科技災害導論"
"29","通識教育講座"
"30","民法概要(一)"
"31","多益英文文法"
"32","民法概要"
"33","浪漫時期音樂賞析"
"34","創業模擬經營實務"
"35","特殊兒童發展"
"36","特殊教育見習一B"
"37","英語發音練習"
"38","數學英文"
"39","哲學概論"
"40","化學英文"
"41","生物學概論"
"42","個人健康管理"
"43","臺灣文化資產賞析"
"44","性別平等與現代社會"
"45","國防軍訓-全民國防"
"46","認識星空"
"47","職業棒球概論"
"48","生命倫理學"
"49","全球文化講座"
"50","綠色生活與永續環境"
"51","法律與經濟"
"52","聖經生命美學"
"53","國防軍訓-國防政策"
"54","創業標竿講座"
"55","資訊系統與網路導論"
"56","台灣文化導論"
"57","創業計畫與表達"
"58","食品與健康"
"59","古典電影配樂賞析"
"60","商業攝影"
"61","音樂的構成"
"62","永續發展通論與綠概念"
"63","設計素描實習"
"64","圖學實習(二)"
"65","環境調查實習(二)"
"66","構造與材料實習"
"67","體育(男)二"
"68","民法概要  (二)"
"69","多益英文文法"
"70","時間的奧秘"
"71","視覺障礙"
"72","特殊兒童發展"
"73","特殊教育見習一A"
"74","學習評量"
"75","幼兒行為觀察"
"76","聽覺障礙"
"77","體育(女)二"
"78","現代小說欣賞"
"79","通識教育講座"
"80","鋼琴音樂三百年"
"81","生物科技導論"
"82","生物學概論"
"83","價值判斷與分析"
"84","未來資訊概論"
"85","工程倫理"
"86","應用力學"
"87","邏輯設計"
"88","臺灣文化資產賞析"
"89","社會與個人"
"90","生命科學概論"
"91","運動與健康"
"92","工程與法律"
"93","客家語言與文化"
"94","哲學與思考"
"95","科學與倫理"
"96","國際現勢與兩岸關係"
"97","浪漫時期音樂賞析"
"98","舊約故事的人生觀"
"99","國防軍訓-全民國防"
"100","產業創新與前瞻科技"
"101","臺灣民間音樂賞析"
"102","觀看與影像實踐"
"103","素描(二)"
"104","室內設計概論(二)"
"105","圖學(二)"
"106","現代繪畫欣賞"
"107","哲學與生活"
"108","美食的真相"
"109","政治學與當代生活"
"110","漢字的奧妙"
"111","民法概要"
"112","會計應用軟體"
"113","樹莓派基礎應用與設計"
"114","哲學概論"
"115","認知的科學"
"116","民法物權"
"117","原生文化與永續發展"
"118","特殊教育見習一B"
"119","英語檢定技巧"
"120","閱讀與字彙"
"121","生命與品格典範"
"122","國防軍訓-防衛動員"
"123","生活中的預防醫學"
"124","科技大解密"
"125","認知與臨床心理學專題"
"126","生命教育概論"
"127","街頭行動藝術"
"128","壓力處理"
"129","音樂與情緒管理"
"130","認識中國崛起"
"131","化工安全與實驗室安全"
"132","土木工程導論"
"133","語言與邏輯"
"134","國防軍訓-國防政策"
"135","憲法與政府"
"136","超級英雄的物理學"
"137","科技災害導論"
"138","C++程式設計概論"
"139","音樂劇賞析"
"140","創意思解"
"141","毫微米的世界"
